Trường,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
Đại Học Kinh tế quốc dân,25,7380101,Luật,A00; A01; D01; D07,26.3,
Đại Học Kinh tế quốc dân,26,7380107,Luật kinh tế,A00; A01; D01; D07,27.0,
Đại Học Kinh tế quốc dân,27,7480101,Khoa học máy tính,A00; A01; D01; D07,26.7,
Đại Học Kinh tế quốc dân,28,7480201,Công nghệ thông tin,A00; A01; D01; D07,27.0,
Đại Học Kinh tế quốc dân,29,7510605,Logistics và Quản lý chuỗi cung ứng,A00; A01; D01; D07,28.2,
Đại Học Kinh tế quốc dân,30,7620114,Kinh doanh nông nghiệp,A00; A01; D01; B00,26.1,
Đại Học Kinh tế quốc dân,31,7620115,Kinh tế nông nghiệp,A00; A01; D01; B00,26.1,
Đại Học Kinh tế quốc dân,32,7810103,Quản trị dịch vụ du lịch và lữ hành,A00; A01; D01; D07,26.85,
Đại Học Kinh tế quốc dân,33,7810201,Quản trị khách sạn,A00; A01; D01; D07,26.85,
Đại Học Kinh tế quốc dân,34,7850101,Quản lý tài nguyên và môi trường,A00; A01; D01; D07,26.1,
Đại Học Kinh tế quốc dân,35,7850102,Kinh tế tài nguyên thiên nhiên,A00; A01; D01; B00,26.1,
Đại Học Kinh tế quốc dân,36,7850103,Quản lý đất đai,A00; A01; D01; D07,26.2,
Đại Học Kinh tế quốc dân,37,EBBA,Quản trị kinh doanh (E - BBA),A00; A01; D01; D07,26.8,
Đại Học Kinh tế quốc dân,38,EP02,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),A00; A01; D01; D07,26.4,
Đại Học Kinh tế quốc dân,39,EP03,Khoa học dữ liệu trong Kinh tế & Kinh doanh (DSEB),A00; A01; D01; D07,26.5,
Đại Học Kinh tế quốc dân,40,EP04,Kế toán tích hợp chứng chỉ quốc tế (ACT - ICAEW),A00; A01; D01; D07,26.8,
Đại Học Kinh tế quốc dân,41,EP05,Kinh doanh số (E - BDB),A00; A01; D01; D07,26.8,
Đại Học Kinh tế quốc dân,42,EP06,Phân tích kinh doanh (BA),A00; A01; D01; D07,27.2,
Đại Học Kinh tế quốc dân,43,EP07,Quản trị điều hành thông minh (E-SOM),A01; D01; D07; D10,26.9,
Đại Học Kinh tế quốc dân,44,EP08,Quản trị chât lượng và Đổi mới (E-MQI),A01; D01; D07; D10,26.45,
Đại Học Kinh tế quốc dân,45,EP09,Công nghệ tài chính (BFT),A00; A01; D01; D07,26.9,
Đại Học Kinh tế quốc dân,46,EP12,Kiểm toán tích hợp chứng chỉ quốc tế (AUD - ICAEW),A00; A01; D01; D07,27.2,
Đại Học Kinh tế quốc dân,47,EP13,Kinh tế học tài chính (FE),A00; A01; D01; D07,26.5,
Đại Học Kinh tế quốc dân,48,EPMP,Quản lý công và Chính sách (E - PMP),A00; A01; D01; D07,26.1,
Đại Học Kinh tế quốc dân,49,7220201,Ngôn ngữ Anh,A01; D01; D09; D10,35.85,Chương trình Tiếng Anh hệ số 2
